Name;IB Ticker;Quandl Code;Type;Multiplier;Currency;Margin;RefNum
2yr US Treasuries;ZT;CME/TU;Bonds;2000;USD;0,01;1
5yr US Treasuries;ZF;CME/FV;Bonds;1000;USD;0,01;1
10yr US Treasuries;ZN;CME/TY;Bonds;1000;USD;0,01;1
Schatz;GBS;EUREX/FGBS;Bonds;1000;EUR;0,01;1
Bobl;GBM;EUREX/FGBM;Bonds;1000;EUR;0,01;1
Bund;GBL;EUREX/FGBL;Bonds;1000;EUR;0,01;1
BTP;BTP;EUREX/FBTP;Bonds;1000;EUR;0,01;1
JGB;MJ;SGX/JB;Bonds;100000;JPY;0,01;1
AU Treasuries;YT;ASX/YT;Bonds;3132;AUD;0,01;1
CGB;CGB;MX/CGB;Bonds;1000;CAD;0,01;1
S&P 500;ES;CME/ES;Equity;50;USD;0,1;1
EUROSTOXX 50;ESTX50;EUREX/FESX;Equity;10;EUR;0,1;1
Nikkei;N225M;OSE/NK225M;Equity;100;JPY;0,1;1
XINA 50;XINA50;SGX/CN;Equity;1;USD;0,1;1
TSE 60;TSE60;MX/SXM;Equity;50;CAD;0,1;1
SPI;MSPI;ASX/AP;Equity;5;AUD;0,1;1
Natural Gas;QG;CME/NG;Energy;2500;USD;0,1;5
WTI;QM;CME/CL;Energy;500;USD;0,1;5
Copper;QC;CME/HG;Metals;12500;USD;0,1;3
Gold;MGC;CME/GC;Metals;10;USD;0,1;3
Silver;YI;CME/SI;Metals;1000;USD;0,1;3
Corn;YC;CME/C;Agriculture;10;USD;0,1;3
Soybean;YK;CME/S;Agriculture;1000;USD;0,1;3
Lean hog;HE;CME/LN;Agriculture;40000;USD;0,1;3
Sugar;SB;CME/YO;Agriculture;112000;USD;0,1;3
Euro;M6E;CME/EC;FX;12500;USD;0,01;1
British Pound;M6B;CME/BP;FX;6250;USD;0,01;1
Swiss Franc;MSF;CME/SF;FX;12500;USD;0,01;1
Australian Dollar;M6A;CME/AD;FX;10000;USD;0,01;1
Canadian Dollar;MCD;CME/CD;FX;10000;USD;0,01;1
Yen;MJY;CME/JY;FX;1250000;USD;0,01;1
Mexican Peso;MXP;CME/MP;FX;500000;USD;0,01;1
Brazilian real;BRE;CME/BR;FX;100000;USD;0,01;1
